Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory
Rioja Bordón Reserva,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011,red
Pian delle Vigne Brunello di Montalcino,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014,red
Almiréz,Spain,Toro,Teso La Monja,4.0,1046,14.95,2016,red
Colheita Seleccionada Rouge,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010,red
Ammasso Rosso Sicilia,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016,red
Côtes du Rhône Nature Rouge,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016,red
Russian River Valley Zinfandel,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016,red
Halkidiki Limnio - Merlot,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013,red
Pomerol,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015,red
Toar Valpolicella Classico Superiore,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016,red
Arbòre Cannonau di Sardegna,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.9,2012,red
Ángeles de Amaren Tempranillo - Graciano,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015,red
Barbera,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018,red
Amarone della Valpolicella,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006,red
Castillo de Jumilla Monastrell - Tempranillo,Spain,Jumilla,Bleda,3.5,105,5.33,2018,red
Hommage Lirac,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016,red
Poggio d'Arna Toscana,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014,red
Vinya Le Havre Reserva Cabernet Sauvignon,Spain,Penedès,Jean Leon,4.0,105,25.75,2013,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014,red
Sor Ugo Bolgheri Superiore,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017,red
Ses Nines Negre,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018,red
Terrassen Zweigelt Blauer,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018,red
Rosso di Montalcino,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018,red
Riva Ranch Pinot Noir (Reliz Creek),United States,Arroyo Seco,Wente,3.9,105,24.15,2017,red
Altos R Tempranillo,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017,red
Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016,red
Potenti Toscana (Suvereto),Italy,Toscana,Petra,3.9,105,39.58,2015,red
Trentatre 33 Rosso,Italy,Salento,Rocca,3.6,105,6.95,2017,red
Pievasciata Rosso,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013,red
The Barossan Shiraz,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017,red
Nero d'Avola,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,2017,red
Bordeaux,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,2015,red
Cabernet Sauvignon,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,2018,red
Tinto,Portugal,Lisboa,Porta 6,3.7,1056,9.12,2018,red
Délicate,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,2025,red
Aglianico Rubrato,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,2014,red
Gran Verano Cabernet Sauvignon,Chile,Central Valley,Apaltagua,3.4,1059,6.95,2018,red
Grand Estates Merlot,United States,Columbia Valley,Columbia Crest,3.7,1059,12.4,2015,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Beychevelle,4.0,106,86.76,2017,red
Copa Santa La Méjanelle,France,Languedoc,Clavel,4.0,106,17.9,2015,red
Cantodoro,Italy,Sicilia,Feudo Arancio,3.6,106,8.5,2016,red
Vitiano San Lorenzo,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,2014,red
Disueri Nero d'Avola,Italy,Sicilia,Cusumano,3.6,106,7.7,2018,red
Kirschgarten Spatburgunder GG,Germany,Pfalz,Knipser,4.2,106,39.95,2013,red
B,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,2017,red
Pinot Noir,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22.5,2017,red
Protocolo Tinto,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,2018,red
Rouge,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.9,2016,red
Côte de Nuits Villages Le Vaucrain,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32.0,2016,red
Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,2016,red
Yotuel Selección,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,2014,red
Lanzaga Rioja,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,2014,red
Elysian Collection Merlot,United States,California,Bonterra,3.8,106,26.7,2016,red
